player,team,pricein_crore_indian_rupees,year
Yuvraj Singh, Delhi Daredevils,16.0,2015
Pat Cummins, Kolkata Knight Riders,15.5,2020
Benjamin Stokes, Rising Pune Supergiant,14.5,2017
Yuvraj Singh, Royal Challengers Bangalore,14.0,2014
Dinesh Karthik, Delhi Daredevils,12.5,2014
Benjamin Stokes, Rajasthan Royals,12.5,2018
Tymal Mills, Royal Challengers Bangalore,12.0,2017
Jaydev Unadkat, Rajasthan Royals,11.5,2018
Manish Pandey, Sunrisers Hyderabad,11.0,2018
KL Rahul, Kings XI Punjab,11.0,2018
Glenn Maxwell, Kings XI Punjab,10.75,2020
Dinesh Karthik, Royal Challengers Bangalore,10.5,2015
Christopher Morris, Royal Challengers Bangalore,10.0,2020
Chris Lynn, Kolkata Knight Riders,9.6,2018
Shane Watson, Royal Challengers Bangalore,9.5,2016
Mitchell Starc, Kolkata Knight Riders,9.4,2018
Kevin Pietersen, Delhi Daredevils,9.0,2014
Glenn Maxwell, Delhi Daredevils,9.0,2018
Rashid Khan Arman, Sunrisers Hyderabad,9.0,2018
Sheldon Cottrell, Kings XI Punjab,8.5,2020
Pawan Negi, Delhi Daredevils,8.5,2016
Jaydev Unadkat, Rajasthan Royals,8.4,2019
Varun Chakaravarthy, Kings XI Punjab,8.4,2019
Nathan Coulter-Nile, Mumbai Indians,8.0,2020
Shimron Hetmyer, Delhi Capitals,7.75,2020
Angelo Mathews, Delhi Daredevils,7.5,2015
Sam Curran, Kings XI Punjab,7.2,2019
Christopher Morris, Delhi Daredevils,7.0,2016
Yuvraj Singh, Sunrisers Hyderabad,7.0,2016
Piyush Chawla, Chennai Super Kings,6.75,2020
Mohit Sharma, Kings XI Punjab,6.5,2016
Mitchell Johnson, Kings XI Punjab,6.5,2014
Colin Ingram, Delhi Capitals,6.4,2019
Glenn Maxwell, Kings XI Punjab,6.0,2014
Ashish Nehra, Sunrisers Hyderabad,5.5,2016
Sam Curran, Chennai Super Kings,5.5,2020
Jacques Kallis, Kolkata Knight Riders,5.5,2014
David Warner, Sunrisers Hyderabad,5.5,2014
Kagiso Rabada, Delhi Daredevils,5.0,2017
Trent Boult, Kolkata Knight Riders,5.0,2017
Shivam Dube, Royal Challengers Bangalore,5.0,2019
Mohit Sharma, Chennai Super Kings,5.0,2019
Axar Rajesh Patel, Delhi Capitals,5.0,2019
Carlos Brathwaite, Kolkata Knight Riders,5.0,2019
Robin Uthappa, Kolkata Knight Riders,5.0,2014
Mitchell Marsh, Rising Pune Supergiants,4.8,2016
Patrick Cummins, Delhi Daredevils,4.5,2017
M. Ashwin, Rising Pune Supergiants,4.5,2016
Chris Woakes, Kolkata Knight Riders,4.2,2017
Rashid Khan Arman, Sunrisers Hyderabad,4.0,2017
Zaheer Khan, Delhi Daredevils,4.0,2015
Trent Boult, Sunrisers Hyderabad,3.8,2015
Nathan Coulter-Nile, Kolkata Knight Riders,3.5,2017
Amit Mishra, Delhi Daredevils,3.5,2015
Aaron Finch, Mumbai Indians,3.2,2015
Murali Vijay, Kings XI Punjab,3.0,2015
