season,total_matches,num_teams,champion,runner_up,orange_cap_winner,purple_cap_winner,most_valuable_player,total_runs_scored,total_sixes,total_fours,avg_first_innings_score,highest_team_total,lowest_team_total
2008,60,8,Rajasthan Royals,Mumbai Indians,Devon Sundar,Mohammad Nortje,Mark Riaz,20244,713,1470,183.1,293,104
2009,60,8,Deccan Chargers,Kings XI Punjab,Marco Sundar,Glenn Topley,Mitchell Conway,20389,525,1112,176.9,264,98
2010,60,8,Chennai Super Kings,Rajasthan Royals,Kieron Samson,Anrich Guptill,AB Natarajan,18575,565,1545,166.3,272,65
2011,74,10,Chennai Super Kings,Delhi Daredevils,Rishabh Rabada,Dwayne Dhawan,Glenn Maxwell,23914,662,1743,172.1,315,95
2012,64,9,Kolkata Knight Riders,Rajasthan Royals,Babar Gill,Shaheen Lyon,Sanju Pope,21025,514,1045,169.9,280,94
2013,64,9,Mumbai Indians,Royal Challengers Bangalore,Kieron Samson,Mark Ashwin,Martin Wood,20896,610,997,171.6,262,96
2014,60,8,Kolkata Knight Riders,Royal Challengers Bangalore,Moeen du Plessis,Faf Chahar,Shaheen Rabada,20807,770,1087,183.6,265,103
2015,60,8,Mumbai Indians,Delhi Daredevils,Marcus Yadav,Shoaib Ngidi,Ollie Buttler,18868,393,1671,169.9,275,65
2016,60,8,Sunrisers Hyderabad,Kolkata Knight Riders,Krunal Tahir,Jason de Villiers,Devon Sundar,20646,715,1382,180.3,302,100
2017,60,8,Mumbai Indians,Gujarat Lions,Umesh Cummins,Ross Buttler,Shoaib Ngidi,20518,422,1097,180.2,271,105
2018,60,8,Chennai Super Kings,Rajasthan Royals,Aaron Buttler,Jason Hales,Jasprit Pandya,19112,505,900,169.9,278,96
2019,60,8,Mumbai Indians,Chennai Super Kings,Alzarri Azam,Washington Maxwell,Ajinkya Saha,20528,604,938,180.9,290,94
2020,60,8,Mumbai Indians,Delhi Capitals,Aaron Buttler,KL Finch,Marcus Siraj,19079,665,1174,167.9,291,80
2021,60,8,Chennai Super Kings,Sunrisers Hyderabad,Umesh Natarajan,Tim Samson,Shaheen Rabada,20630,602,1562,177.7,256,75
2022,74,10,Gujarat Titans,Royal Challengers Bangalore,Moeen du Plessis,Mohammad Saha,Shikhar de Villiers,24744,1033,1634,175.7,312,98
2023,74,10,Chennai Super Kings,Royal Challengers Bangalore,Nicholas Chahar,Mohammad Saha,Faheem Tahir,25411,705,1241,184.5,308,94
2024,74,10,Kolkata Knight Riders,Chennai Super Kings,Denesh Shaw,Mohammad Saha,Jofra Jadeja,23663,898,1282,173.4,288,61
2025,74,10,Kolkata Knight Riders,Lucknow Super Giants,Kieron Samson,Marcus Siraj,Shaheen Rabada,24134,781,1940,168.7,253,51
